Team,ScoreDescending,Overs,RPO,Lead,Inns,Result,Opposition,Ground,Start Date,Declared,Wickets
England,570,172.5,3.3,377,3,draw,South Africa,Durban,2004-12-26,1,7
Australia,570,140.0,4.07,570,1,draw,New Zealand,Wellington,2005-03-18,1,8
Pakistan,570,167.83333333333334,3.39,570,1,won,India,Bengaluru,2005-03-24,0,10
England,570,122.5,4.65,570,1,won,West Indies,Leeds,2007-05-25,1,7
Sri Lanka,570,135.0,4.22,570,1,draw,Bangladesh,Galle,2013-03-08,1,4
Australia,570,158.0,3.6,570,1,won,England,Adelaide,2013-12-05,1,9
Pakistan,570,164.0,3.47,570,1,won,Australia,Abu Dhabi,2014-10-30,1,6
Pakistan,569,192.0,2.96,82,2,draw,England,Hyderabad (Sind),1973-03-16,1,9
West Indies,569,153.83333333333334,3.69,221,2,won,Australia,Georgetown,1991-03-23,0,10
England,569,147.0,3.87,569,1,won,West Indies,Chester-le-Street,2009-05-14,1,6
South Africa,569,111.83333333333333,5.08,631,3,won,Australia,Perth,2012-11-30,0,10
England,569,163.66666666666666,3.47,569,1,won,India,Southampton,2014-07-27,1,7
England,568,200.83333333333334,2.82,568,1,draw,West Indies,Port of Spain,1968-01-19,0,10
England,568,121.66666666666667,4.66,568,1,won,West Indies,Lord's,2004-07-22,0,10
Australia,568,133.5,4.25,264,2,won,Pakistan,Sydney,2005-01-02,0,10
England,567,174.66666666666666,3.24,316,2,won,New Zealand,Nottingham,1994-06-02,1,8
Australia,566,168.0,3.36,566,1,draw,England,Leeds,1930-07-11,0,10
India,566,142.33333333333334,3.97,566,1,draw,West Indies,Delhi,1979-01-24,1,8
India,566,131.0,4.32,220,2,draw,Sri Lanka,Chennai,1982-09-17,1,6
England,566,134.0,4.22,566,1,won,West Indies,Birmingham,2004-07-29,1,9
England,566,165.33333333333334,3.42,566,1,draw,West Indies,St John's,2009-02-15,1,9
India,566,165.0,3.43,373,2,won,New Zealand,Nagpur,2010-11-20,1,8
Pakistan,566,170.83333333333334,3.31,566,1,won,New Zealand,Abu Dhabi,2014-11-09,1,3
Australia,566,149.0,3.79,566,1,won,England,Lord's,2015-07-16,1,8
India,566,161.83333333333334,3.49,566,1,won,West Indies,North Sound,2016-07-21,1,8
Pakistan,565,,4.02,565,1,draw,New Zealand,Karachi,1976-10-30,1,9
India,565,172.33333333333334,3.27,35,2,draw,West Indies,Eden Gardens,1987-12-26,0,10
Australia,565,138.0,4.09,115,2,draw,South Africa,Brisbane,2012-11-09,1,5
Australia,564,,2.82,688,3,won,England,Melbourne,1937-01-01,0,10
West Indies,564,214.0,2.63,275,3,draw,New Zealand,Bridgetown,1972-03-23,0,8
England,564,198.83333333333334,2.83,43,2,draw,India,Nottingham,1996-07-04,0,10
West Indies,563,239.66666666666666,2.34,81,2,draw,England,Bridgetown,1960-01-06,1,8
Zimbabwe,563,167.0,3.37,347,3,draw,West Indies,Harare,2001-07-27,1,9
South Africa,563,143.0,3.93,184,2,won,India,Bloemfontein,2001-11-03,0,10
New Zealand,563,151.33333333333334,3.72,563,1,draw,Pakistan,Hamilton,2003-12-19,0,10
Australia,563,181.0,3.11,37,2,draw,India,Adelaide,2008-01-24,0,10
England,562,186.0,3.02,562,1,won,New Zealand,Auckland,1963-02-23,1,7
Australia,562,154.33333333333334,3.64,379,2,won,New Zealand,Wellington,2016-02-12,0,10
Pakistan,561,185.5,3.02,213,2,won,New Zealand,Lahore,1955-10-26,0,10
South Africa,561,148.66666666666666,3.77,561,1,won,West Indies,Johannesburg,2003-12-12,0,10
New Zealand,561,159.16666666666666,3.52,561,1,draw,Sri Lanka,Napier,2005-04-04,0,10
England,560,147.5,3.79,560,1,draw,New Zealand,Christchurch,1933-03-24,1,8
India,560,165.0,3.39,560,1,won,England,Chennai,1993-02-11,1,6
Bangladesh,560,154.0,3.63,295,2,won,Zimbabwe,Mirpur,2020-02-22,1,6
England,559,,3.2,559,1,draw,South Africa,Cape Town,1938-12-31,1,9
England,559,203.0,2.75,559,1,draw,India,Kanpur,1964-02-15,1,8
West Indies,559,168.0,3.32,404,2,won,Zimbabwe,Bulawayo,2001-07-19,1,6
West Indies,559,151.0,3.7,275,2,won,Bangladesh,Kingston,2004-06-04,1,4
Australia,559,133.0,4.2,559,1,draw,New Zealand,Perth,2015-11-13,1,9
Australia,558,147.0,3.79,558,1,won,West Indies,Brisbane,1931-01-16,0,10
West Indies,558,174.66666666666666,3.19,335,2,won,England,Nottingham,1950-07-20,0,10
England,558,139.0,4.01,401,2,won,Pakistan,Nottingham,1954-07-01,1,6
England,558,,2.92,200,2,draw,Australia,Melbourne,1965-12-30,0,10
